SITE	LAT	LON	ellipsoid height
00NA	-12.4666	130.844	104.851
019B	39.1856	139.5477	45.283
01NA	-12.4782	130.982	105.409
02NA	-12.3559	130.8817	117.652
1LSU	30.4074	-91.1803	-6.487
1NSU	31.7508	-93.0976	28.071
1SAL	45.4307	12.3365	55.417
1ULM	32.529	-92.0759	16
20NA	-23.6982	133.8828	607.104
21NA	-23.767	133.8792	574.465
25MA	-37.7719	-67.7156	373.96
299C	64.0289	-142.0758	748.177
2TRY	-33.7688	151.1163	80.592
3ARO	-38.3821	-60.2742	137.523
3CAN	40.6136	-3.7016	765.697
3RIV	46.3148	-72.5761	-21.729
3RV2	46.3159	-72.5734	-21.491
489F	59.9727	-136.8189	925.503
49.6	19.206	52.779	3904630
4ACA	-27.5985	153.0388	115.195
4CDA	-28.2446	153.5561	52.251
4COO	-27.4915	153.0501	54.718
4CRN	-16.9524	145.7425	90.12
4CRY	-26.4161	152.911	164.36
4GLD	-23.8392	151.2446	60.365
4GRM	-23.8392	151.2446	60.366
4GWI	-28.5465	150.3031	258.291
4HLN	-27.9219	153.3363	55.571
4HVB	-25.2997	152.8098	73.953
4JON	-27.4256	151.4951	422.634
4MBH	-25.5344	152.7064	82.959
4MC0	-26.6628	153.0334	66.302
4MCK	-21.1172	149.1589	76.485
4MCY	-21.1172	149.1589	76.501
4VIR	-27.3759	153.0578	57.986
4WCK	-27.0471	150.9571	387.534
4YAT	-27.734	153.2219	63.578
59WE	33.4311	-112.1831	289.115
5LIT	-35.0507	138.8675	393.428
5MEN	-35.6892	139.3379	11.717
5PTS	36.4292	-120.265	56.523
5YOR	-35.017	137.6063	24.629
7OAK	37.595	-114.7591	1713.28
7ODM	34.1164	-117.0932	762.072
8KUK	-33.1904	118.084	298.306
A351	-72.9081	74.9101	1907.48
A368	-74.2906	66.7922	1235.83
A770	-24.159	151.887	126.353
AA03	8.329	80.41	-8.5
AA04	9.6955	80.0308	-82.856
AA05	8.5705	81.2296	-85.607
AA07	7.719	81.6989	-85.053
AA09	5.9567	80.5446	-89.364
AACH	50.7679	6.0884	263.286
AACR	9.9388	-84.1179	1123.93
AARS	50.9633	4.8361	104.668
AASI	68.7193	-52.7933	56.282
AAUC	57.0138	9.9873	60.338
AB01	52.2095	-174.2048	25.452
AB02	52.9706	-168.8547	192.78
AB04	63.6569	-170.5674	136.576
AB06	54.8853	-163.4235	500.412
AB07	55.3493	-160.4768	89.575
AB08	60.3848	-166.2009	26.524
AB09	65.615	-168.0621	162.102
AB11	64.5645	-165.3735	349.452
AB12	58.9508	-161.7463	587.081
AB13	56.3073	-158.5038	487.811
AB14	59.1082	-159.0915	657.631
AB15	61.0398	-159.8784	560.338
AB17	63.8864	-160.6947	117.46
AB18	66.8584	-162.6135	37.142
AB21	51.8641	-176.6626	59.356
AB22	59.8993	-154.6983	199.803
AB25	62.9293	-156.0234	961.044
AB27	67.0559	-156.9049	508.122
AB28	62.0938	-152.8149	1582.69
AB33	67.251	-150.1725	334.789
AB35	60.0791	-142.3899	536.713
